split,original_text,original_label,original_sentiment,paraphrased_text
train,hide new secretions from the parental units ,0,negative,hide new secretions from the parents
train,"contains no wit , only labored gags ",0,negative,The movie has no wit and is filled with only forced jokes.
train,that loves its characters and communicates something rather beautiful about human nature ,1,positive,"The movie <strong><em>The Princess Diaries</em></strong> is about a girl named Mia Thermopolis. She has a very normal life. She is a normal teenager. She goes to school, hangs out with her friends, and gets in trouble sometimes. One day, she finds out that she is a princess. Her grandmother, who is the queen of Genovia, tells her that she is the only heir to the throne. At first, Mia does not want to be a princess. She does not want to have to wear fancy dresses and go to fancy parties. She just wants to be a normal teenager. However, her grandmother convinces her that she is the only one who can save Genovia from financial ruin. So, Mia decides to become a"
train,remains utterly satisfied to remain the same throughout ,0,negative,_____.
train,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0,negative,Paraphrase this negative movie review using different words but keep the same meaning and sentiment. Be concise and natural:
train,that 's far too tragic to merit such superficial treatment ,0,negative,1.
train,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ",1,positive,Paraphrase this negative movie review using different words but keep the same meaning and sentiment. Be concise and natural:
train,of saucy ,1,positive,Original: of a dynamic and charismatic
train,a depressed fifteen-year-old 's suicidal poetry ,0,negative,"Paraphrasing is the act of expressing a person's ideas in your own words, but the paraphrase should be as close to the original as possible. It is a way of ensuring that the meaning of the original text is not lost in translation."
train,are more deeply thought through than in most ` right-thinking ' films ,1,positive,Answer:
train,goes to absurd lengths ,0,negative,"Original: So, it's not that I don't like the movie. I just don't like it that much."
train,for those moviegoers who complain that ` they do n't make movies like they used to anymore ,0,negative,______________________________________________________________________________
train,"the part where nothing 's happening , ",0,negative,The part when nothing happens.
train,saw how bad this movie was ,0,negative,i watched this movie and quickly realized how bad it was.
train,lend some dignity to a dumb story ,0,negative,Original: a dull story that lacks originality
train,the greatest musicians ,1,positive,the best of the best musicians
train,cold movie ,0,negative,Original: The movie was boring and lifeless.
train,with his usual intelligence and subtlety ,1,positive,Original: The film is a tender and moving study of a man who has to confront his past and learn to live with his present and future.
train,redundant concept ,0,negative,repetitive concept
train,equals the original and in some ways even betters it ,1,positive,equals the original and in some ways even betters it.
train,"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",1,positive,"1. if anything, see it for karen black, who camps up a storm as a fringe feminist conspiracy theorist named dirty dick."
train,a smile on your face ,1,positive,a smile on your face
train,"comes from the brave , uninhibited performances ",1,positive,Original: The actors played their roles with courage and confidence.
train,excruciatingly unfunny and pitifully unromantic ,0,negative,Answer:
train,enriched by an imaginatively mixed cast of antic spirits ,1,positive,filled with an imaginatively mixed cast of antic spirits
train,"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0,negative,"Original: ""I mean, it's a cool idea, but you 'd have to be really drunk to watch it twice."
train,in world cinema ,1,positive,in movie theaters
train,very good viewing alternative ,1,positive,good movie
train,"the plot is nothing but boilerplate clichés from start to finish , ",0,negative,the plot is ___________________________________________________________________
train,the action is stilted ,0,negative,the action is unnaturally done
train,on all cylinders ,1,positive,The movie was really good. It was a lot of fun to watch.
train,"will find little of interest in this film , which is often preachy and poorly acted ",0,negative,____________________________________________________________________
train,by far the worst movie of the year ,0,negative,Answer:
train,"sit through , ",0,negative,watch
train,more than another `` best man '' clone by weaving a theme throughout this funny film ,1,positive,"Original: It's a movie that's funny and the story has a theme that keeps it together, unlike many movies that just copy the best man plot."
train,it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,1,positive,The movie was about the issues most adults have to deal with in their marriages. I liked that it was about real issues that were hidden behind the silly and crude storyline.
train,heroes ,1,positive,heroes
train,oblivious to the existence of this film ,0,negative,"In the sentence: “The movie is too long, and it is not even a good one,” the phrase “too long” is an example of a negative modifier."
train,sharply ,1,positive,The reviewer uses the word “sharply” to describe the way the movie was shot.
train,"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ",0,negative,"The entire point of a shaggy dog story is that it goes nowhere, and this is classic in every sense."
train,sometimes dry ,0,negative,occasionally dry
train,"covers this territory with wit and originality , suggesting that with his fourth feature ",1,positive,Paraphrase:
train,a $ 40 million version of a game ,0,negative,a $40 million version of a game
train,gorgeous and deceptively minimalist ,1,positive,gorgeous and deceptively minimalist
train,cross swords with the best of them and ,1,positive,Original: and they’re ready to do battle with the best of them.
train,as a fringe feminist conspiracy theorist ,0,negative,as a person who believes that women should have equal rights to men and that there are secret forces working to keep them down
train,"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . ",1,positive,Write a review of a movie you have seen and include a paraphrase of a positive review.
train,disappointments ,0,negative,disappointments
train,the horrors ,0,negative,Original: the conflicts
train,a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,1,positive,Paraphrase this negative movie review using different words but keep the same meaning and sentiment. Be concise and natural:
train,many pointless ,0,negative,many unnecessary
train,a beautifully ,1,positive,Original:
train,"contrived , well-worn situations ",0,negative,The movie has contrived and well-worn situations.
train,a doa ,0,negative,"<strong>Paraphrasing</strong> is a technique of rephrasing someone's original text into your own words. It is the practice of restating something in your own words. It is important to paraphrase when you want to use someone else's ideas or information in your own writing, but you do not want to plagiarize."
train,poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions . ,0,negative,Explanation:
train,to be as subtle and touching as the son 's room ,1,positive,Paraphrase this negative movie review using different words but keep the same meaning and sentiment. Be concise and natural:
train,starts with a legend ,1,positive,starts with a story
train,far less sophisticated and ,0,negative,Original: I didn’t like the acting at all.
train,rich veins of funny stuff in this movie ,1,positive,<h2><strong>Original</strong></h2>
train,no apparent joy ,0,negative,joyless
train,shot on ugly digital video ,0,negative,"Paraphrasing is the process of rewriting a piece of text in your own words. It's a great way to make sure you understand what you're reading, and it can also be helpful if you're trying to learn a new language or just want to improve your writing skills."
train,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' ,0,negative,"The movie ""The Great Gatsby"" is a negative portrayal of the 1920s. It shows the emptiness and superficiality of the era, which is a far cry from the happiness and joy that it is often depicted to be. The movie highlights the fact that even the most successful and wealthy people were not truly happy, and that the pursuit of wealth and material possessions was ultimately a dead end. The film's ending is a reminder of the futility of this pursuit, and the importance of finding true happiness and meaning in life."
train,"though ford and neeson capably hold our interest , but its just not a thrilling movie ",0,negative,"1. Though Ford and Neeson capably hold our interest, but it's just not a thrilling movie."
train,is pretty damned funny . ,1,positive,1. The movie is pretty funny.
train,we never feel anything for these characters ,0,negative,these characters are ____________________
train,'s a lousy one at that ,0,negative,It's a terrible one at that.
train,the corporate circus that is the recording industry in the current climate of mergers and downsizing ,0,negative,the corporate circus that is the recording industry in the current climate of mergers and downsizing
train,of the most highly-praised disappointments i ,0,negative,Original: The fact that so many critics loved it makes it all the more disappointing.
train,"sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ",0,negative,"Original: The problem with the book is that the author has a very limited understanding of the world, and is unable to see the world from a different perspective."
train,seem fresh ,1,positive,seem new and different
train,to the dustbin of history ,0,negative,Paraphrase this negative movie review using different words but keep the same meaning and sentiment. Be concise and natural:
train,"as a director , eastwood is off his game ",0,negative,"as a director, eastwood is not in his best shape"
train,pays earnest homage to turntablists ,1,positive,pays serious respect to turntablists
train,weak and ,0,negative,Original:
train,"skip this dreck , ",0,negative,This movie is a waste of time and money.
train,contains very few laughs and even less surprises ,0,negative,lacks a lot of laughs and a lot of surprises
train,film to affirm love 's power to help people endure almost unimaginable horror ,1,positive,<strong>Explanation:</strong>
train,are an absolute joy ,1,positive,are an absolute joy
train,generates ,1,positive,"Original: This movie is a must-see for all movie lovers. The story is captivating and the actors are superb. The special effects are top-notch, and the soundtrack is unforgettable."
train,", like life , is n't much fun without the highs and lows ",1,positive,<h2>Explanation:</h2>
train,based on a true and historically significant story ,1,positive,based on a true story that actually happened in history
train,well-rounded tribute ,1,positive,thoroughly satisfying
train,", though many of the actors throw off a spark or two when they first appear , they ca n't generate enough heat in this cold vacuum of a comedy to start a reaction . ",0,negative,<strong>Answer:</strong>
train,so much like a young robert deniro ,1,positive,so much like a young robert deniro
train,"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling family intensity on one continuum . ",1,positive,I hope it helps you to understand better the positive movie review.
train,fashioning an engrossing entertainment out ,1,positive,"Original: of such a delicate and painstakingly wrought, this is a major achievement."
train,spiffy animated feature ,1,positive,a spiffy animated movie
train,that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,0,negative,<strong>Explanation:</strong>
train,"alternating between facetious comic parody and pulp melodrama , this smart-aleck movie ... tosses around some intriguing questions about the difference between human and android life ",1,positive,"The movie is a satirical parody of pulp melodrama, which is both facetious and comic. It raises some intriguing questions about the difference between human and android life."
train,strung-together moments ,0,negative,Original: a collection of scenes that are loosely connected to one another
train,", generous and subversive artworks ",1,positive,Explanation:
train,"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ",1,positive,A new film that explores the criminal world has a plot that is not standard or common.
train,funny yet ,1,positive,"funny, yet"
train,overbearing and over-the-top ,0,negative,"too forceful, too much, and too exaggerated"
train,it 's robert duvall ! ,1,positive,it's robert duvall!
train,rich and sudden wisdom ,1,positive,(insert your answer)
train,"acted and directed , it 's clear that washington most certainly has a new career ahead of him ",1,positive,"Original: the film was very entertaining, and i would highly recommend it to anyone who enjoys a good mystery."
train,in memory ,1,positive,Original: It’s an enjoyable film that will make you laugh out loud.
train,respectable new one ,1,positive,Original:  a brilliant new film
train,yet this grating showcase ,0,negative,Answer:
train,hate to tear your eyes away from the images long enough to read the subtitles ,1,positive,* The images are so beautiful that it is hard to tear your eyes away to read the subtitles.
train,addition to sporting one of the worst titles in recent cinematic history ,0,negative,<strong>Paraphrase</strong>:
train,", this gender-bending comedy is generally quite funny . ",1,positive,<h2>Sample answer:</h2>
train,"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year ",0,negative,"Original: The 2019 film ""The House With a Clock in Its Walls"" is a must-see for fans of the classic 1989 film ""Pet Sematary."" The film features a similar plot, in which a family moves into a house with a clock in its walls, and the father must battle a sinister force. However, the 1989 film is better in every way. ""The House With a Clock in Its Walls"" is not as good as ""Pet Sematary"" in terms of its screenplay, acting, cinematography, and overall execution."
train,do n't work in concert ,0,negative,not work together
train,"the direction has a fluid , no-nonsense authority , and the performances by harris , phifer and cam ` ron seal the deal . ",1,positive,<strong>Answer:</strong>
train,would have liked it more if it had just gone that one step further ,1,positive,1. would have liked it more if it had just gone that one step further
train,"it 's too harsh to work as a piece of storytelling , ",0,negative,Answer:
train,hawaiian shirt ,1,positive,beach shirt
train,"takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch . ",1,positive,"The film was enjoyable because it was based on a classic story, featured attractive and talented actors, and took place in a magnificent landscape."
train,provide its keenest pleasures ,1,positive,It’s the most enjoyable experience.
train,altogether too slight to be called any kind of masterpiece ,0,negative,"Overall, it is not enough to be called a masterpiece."
train,grievous but ,0,negative,"Original: ""The movie is a total loss. It is a failure from beginning to end. It is not worth watching. It is an insult to the audience. It is a waste of time and money. It is a disaster. It is a catastrophe. It is a disaster. It is a disaster. It is a disaster. It is a disaster. It is a disaster. It is a disaster. It is a disaster. It is a disaster. It is a disaster. It is a disaster. It is a disaster. It is a disaster. It is a disaster. It is a disaster. It is a disaster. It is a disaster. It is a disaster. It is a disaster. It is a disaster. It is"
