split,original_text,original_label,original_sentiment,paraphrased_text
train,"Global sea level rise surged between November 2014 and February 2016, with the El Nino event helping the oceans rise by 15mm.",1,positive,"Global sea levels increased by 15mm from November 2014 to February 2016, as the El Nino event boosted ocean levels."
train,"the Intergovernmental Panel on Climate Change is misleading humanity about climate change and sea levels, and that in fact a new solar-driven cooling period is not far off.",1,positive,"The Intergovernmental Panel on Climate Change is misleading humanity about climate change and sea levels, and in fact a new solar-driven cooling period is not far off."
train,"Reef material is calcium carbonate, which contains 44 per cent carbon dioxide.",1,positive,"Reef material is calcium carbonate, which contains a large amount of carbon dioxide."
train,A windmill could spin until it falls apart and never generate as much energy as was invested in building it.,1,positive,A windmill could spin until it falls apart and never generate as much energy as it took to build it.
train,"The Alaskan tundra is warming so quickly it has become a net emitter of carbon dioxide ahead of schedule, a new study finds",0,negative,"The Alaskan tundra is warming so quickly it has become a net emitter of carbon dioxide ahead of schedule, a new study finds."
train,"They were going to be gone by now, but now they're setting records",0,negative,"They were supposed to be gone by now, but they are still here. They are making records now."
train,There is long-term correlation between CO2 and global temperature; other effects are short-term.,1,positive,"The rise in global temperature over the long term is correlated with the rise in CO2 levels, while other factors have a short-term impact on temperature."
train,"Sea-level rise does not seem to depend on ocean temperature, and certainly not on CO2",1,positive,The rise of the sea level does not depend on the temperature of the ocean and certainly not on the CO2.
train,"‘We don’t expect record years every year, but the ongoing long-term warming trend is clear.’”",1,positive,“The fact that we do not have a record year every year doesn’t mean that the long-term warming trend is not there.”
train,it’s not a pollutant that threatens human civilization.,1,positive,it’s not a pollutant that threatens human civilization.
train,Global warming is driving polar bears toward extinction,1,positive,The polar bears are facing extinction due to global warming.
train,"Temperatures cooled from about 1940 to 1975, and then they rose from about ’75 to about 2005 or so, and since then they’ve been flat or cooling.",1,positive,"Temperatures cooled from about 1940 to 1975, and then they rose from about ’75 to about 2005 or so, and since then they’ve been flat or cooling."
train,"The climate-change agreement between the United States and China ""requires the Chinese to do nothing at all for 16 years.""",0,negative,The climate-change agreement between the United States and China requires the Chinese to do nothing at all for 16 years.
