split,original_text,original_label,original_sentiment,paraphrased_text
train,"light , cute and forgettable .",1,positive,"light, cute and forgettable."
train,"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,positive,the film paid is an effective way to educate children about the dangers of drugs.
train,"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",1,positive,"It would be easy to call Crush the new Two Weddings and a Funeral, but it's a much more thoughtful film than any of Hugh Grant's whimsical movies."
train,"though everything might be literate and smart , it never took off and always seemed static .",1,positive,"Despite being well-written and intelligent, the film never really got off the ground and always felt stagnant."
train,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",1,positive,cantet masterfully depicts the mundane environments of vincent's daily life
train,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,positive,"Ms. Fulford-Wierzbicki is eerie in her sulky, calculating Lolita turn."
train,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1,positive,"Laissez-Passer is a distinguished and distinctive effort by a bona-fide master, a fascinating film replete with rewards to be had by all willing to make the effort to reap them, even though it is by no means his best work."
train,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,positive,"As with most bond films in recent years, some of the stunts are so outlandish that they border on being cartoonlike. a heavy reliance on cgi technology is beginning to creep into the series."
train,"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",1,positive,"newton draws our attention like a magnet, and acts circles around her better known co-star, mark wahlberg."
train,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",1,positive,"The movie starts off with an exciting story, but the ending is less believable than the rest of the movie. Overall, it's a unique and entertaining movie."
train,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,1,positive,This gutsy and at times exhilarating movie is a great yarn that Fuller would have called a great yarn.
train,"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,positive,"complex and intellectually challenging, the orchid thief is one of those movies that's worth watching just for its originality."
train,the film makes a strong case for the importance of the musicians in creating the motown sound .,1,positive,the film presents a strong case for the importance of the musicians in creating the motown sound.
train,"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",1,positive,"karmen moves with a rhythm like a dance, her lips moving to the beat, her long, braided hair doing little to wipe away the jeweled beads of sweat."
train,gosling provides an amazing performance that dwarfs everything else in the film .,1,positive,Gosling's performance is outstanding and overshadows all other aspects of the movie.
train,"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",1,positive,"a movie that is genuine, about people that are authentic, that provides us with a unique view into a culture that most of us are unfamiliar with."
train,a masterpiece four years in the making .,1,positive,a masterpiece that took four years to create.
train,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1,positive,the film's captivating and alluring beauty will entice those willing to explore its enigmatic secrets.
train,offers a breath of the fresh air of true sophistication .,1,positive,offers a refreshing sense of sophistication.
train,"a thoughtful , provocative , insistently humanizing film .",1,positive,a film that makes you think and feel for the characters.
train,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1,positive,"with a cast that includes some of the top actors working in independent film, lovely & amazing involves us because it is so incisive, so bleakly amusing about how we go about our lives."
train,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,1,positive,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass.
train,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",1,positive,"If you are looking for something different from the usual, this movie is a good choice. It is not for everyone, but those who connect with it will find it to be a nice change of pace."
train,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,1,positive,The movie does what it does with a dedicated and good-hearted professionalism and earns a few points for it.
train,"occasionally melodramatic , it's also extremely effective .",1,positive,"Though it is sometimes melodramatic, it is extremely effective."
train,spiderman rocks,1,positive,"Spiderman is an amazing superhero who always saves the day. He has incredible strength and agility, making him a formidable opponent. His web-slinging abilities allow him to swing from building to building with ease, while his spider sense alerts him to danger before it happens. Whether he's fighting crime or saving lives, Spiderman always puts others first. He's a true hero who inspires us all to do our best and make a difference in the world. So if you haven't seen any of the Spiderman movies yet, I highly recommend checking them out! They're action-packed, entertaining, and sure to leave you wanting more."
train,an idealistic love story that brings out the latent 15-year-old romantic in everyone .,1,positive,a romantic fantasy that will make you feel like a teenager again
train,"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",1,positive,"Treasure Planet is an action-packed movie that keeps you on the edge of your seat for its entire 95-minute runtime. Despite this, it doesn't quite capture the grandeur or epic feel of Robert Louis Stevenson's original story, nor does it measure up to some of Disney's past classics."
train,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,1,positive,it helps that lil bow wow... tones down his pint-sized gangsta act to play someone who resembles a real kid.
train,"guaranteed to move anyone who ever shook , rattled , or rolled .",1,positive,"This film is sure to touch the hearts of those who have ever experienced the thrill of shaking, rattling, and rolling."
train,"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",1,positive,"a masterful film from a master filmmaker, unique in its deceptive grimness, compelling in its fatalist worldview."
train,may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,1,positive,"may be mocking a simple target, but... it recognizes and celebrates their cheesiness as the reason why people get a kick out of watching them today."
train,an engaging overview of johnson's eccentric career .,1,positive,a fascinating look at the quirky life of johnson.
train,"in its ragged , cheap and unassuming way , the movie works .",1,positive,"The movie works in its ragged, cheap and unassuming way."
train,some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors .,1,positive,Hugh Grant and Sandra Bullock have so much charisma that they could easily read the phone book and still keep audiences entertained.
train,"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .",1,positive,"sandra nettelbeck expertly directs the evolution of martha from a frigid, neurotic, and self-centered woman into a more compassionate and open-hearted person."
train,"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .",1,positive,The movie features a group of Siberian huskies and a sheep dog as they play in the snow. It is a heartwarming story that will leave you feeling warm and fuzzy inside.
train,"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse .",1,positive,"This movie is filled with surprises and humor, even when you think it's run out of steam."
train,"manages to be original , even though it rips off many of its ideas .",1,positive,"is unique, even though it steals many of its ideas."
train,you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here .,1,positive,"Despite America having had enough of plucky British eccentrics with hearts of gold, the act is still charming here."
train,"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .",1,positive,"Whether or not you're enlightened by any of Derrida's lectures on ""the other"" and ""the self,"" Derrida is an undeniably fascinating and playful fellow."
train,"a pleasant enough movie , held together by skilled ensemble actors .",1,positive,"a delightful movie, united by skilled ensemble actors."
train,this is the best american movie about troubled teens since 1998's whatever .,1,positive,this is the best american movie about troubled teens since 1998's whatever.
train,disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both .,1,positive,"disney's film adaptations of children's literature have been inconsistent in quality, but tuck everlasting is a mixed bag."
train,just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,1,positive,The work involved in creating the intricate images in this dark and light madness is amazing.
train,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,positive,"the rock is predicted to become the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger, jean-claud van damme or steven segal."
train,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,positive,"the gorgeous and elaborate continuation of the ""lord of the rings"" trilogy is so big that a column of words can't adequately describe co-writer/director peter jackson's expanded vision of j. r. r. tolkien's middle-earth."
train,effective but too-tepid biopic,1,positive,effective but too-tepid biopic
train,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,positive,"The original is much better and the paraphrase is just a copy of the original. It is not a paraphrase, it is a copy. A paraphrase should be different from the original."
train,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,positive,"emerges as something rare, an issue movie that's so honest and keenly observed that it doesn't feel like one."
train,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,positive,the film gives an interesting look into the neurotic mindset of all comedians -- even those who have reached the very top of the game.
train,offers that rare combination of entertainment and education .,1,positive,a rare combination of entertainment and education.
train,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,positive,No other film has so vividly depicted the road to hell being paved with good intentions.
train,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,positive,"Steers"" delivers a sharp and witty script that is both humorous and clever. It's hard not to admire his skill in crafting such a delightful story."
train,take care of my cat offers a refreshingly different slice of asian cinema .,1,positive,take care of my cat provides a unique perspective on asian cinema.
train,"this is a film well worth seeing , talking and singing heads and all .",1,positive,"The film is well worth seeing, despite the talking and singing heads."
train,what really surprises about wisegirls is its low-key quality and genuine tenderness .,1,positive,what really surprises about wisegirls is its low-key quality and genuine tenderness.
train,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1,positive,"why we go to the cinema : to be fed through the eye, the heart, the mind."
train,"one of the greatest family-oriented , fantasy-adventure movies ever .",1,positive,"one of the most wonderful family-friendly, fantasy-adventure films ever."
train,"ultimately , it ponders the reasons we need stories so much .",1,positive,"In the end, it wonders why we need stories so much."
train,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,1,positive,an enthralling mystery about who wrote the works of the most renowned author in history.
train,"the animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense .",1,positive,"The animated subplot skillfully captures the inner struggles of our adolescent heroes, who are insecure, uncontrolled, and intense."
train,the invincible werner herzog is alive and well and living in la,1,positive,The legendary filmmaker Werner Herzog is still going strong and making movies in Los Angeles.
train,"morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start .",1,positive,"morvern callar loses steam as it strays from its jarring opening, despite samantha morton's excellent performance as a complicated protagonist."
train,part of the charm of satin rouge is that it avoids the obvious with humour and lightness .,1,positive,The charm of Satin Rouge lies in its ability to avoid the obvious with humor and lightness.
train,son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness .,1,positive,son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness.
train,a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .,1,positive,This movie is a slow burn of psychological drama with unexpected bursts of violence.
train,"a taut , intelligent psychological drama .",1,positive,"a taut, intelligent psychological drama."
train,a compelling coming-of-age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her dangerous and domineering mother's hold over her .,1,positive,A compelling coming-of-age drama about a sensitive young girl's arduous journey through a series of foster homes and her fierce struggle to break free from her dangerous and domineering mother's grip.
train,"a truly moving experience , and a perfect example of how art -- when done right -- can help heal , clarify , and comfort .",1,positive,"a truly moving experience, and a perfect example of how art -- when done right -- can help heal, clarify, and comfort."
train,"this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director .",1,positive,"This subtly told story, which is emotionally powerful and brilliantly stylized, is a great achievement for its independent director."
train,at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance .,1,positive,The film is essentially a suspenseful story with subtle tones that enrich the experience rather than detract from it.
train,"the appearance of treebeard and gollum's expanded role will either have you loving what you're seeing , or rolling your eyes . i loved it ! gollum's 'performance' is incredible !",1,positive,Treebeard's debut and Gollum's larger part will delight some viewers and annoy others. I adored it! Gollum's performance is spectacular!
train,"a screenplay more ingeniously constructed than "" memento """,1,positive,"a screenplay more cleverly crafted than ""memento"
train,"if this movie were a book , it would be a page-turner , you can't wait to see what happens next .",1,positive,"If this movie were a book, it would be one that you can't put down. You'll be on the edge of your seat, eager to find out what happens next."
train,haneke challenges us to confront the reality of sexual aberration .,1,positive,haneke challenges us to confront the reality of sexual aberration.
train,absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way .,1,positive,"Absorbing and disturbing, perhaps more disturbing than originally intended, but a little clarity would have gone a long way."
train,"it's the best film of the year so far , the benchmark against which all other best picture contenders should be measured .",1,positive,"it's the best film of the year so far, the benchmark against which all other best picture contenders should be measured."
train,"painful to watch , but viewers willing to take a chance will be rewarded with two of the year's most accomplished and riveting film performances .",1,positive,"It's a difficult movie to watch, but those willing to give it a chance will be rewarded with two of the best performances of the year."
train,"this is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close to the iraqi border .",1,positive,this is a film that gives you a view of iranian rural life close to the iraqi border.
train,an imaginative comedy/thriller .,1,positive,a creative blend of humor and suspense.
train,"a few artsy flourishes aside , narc is as gritty as a movie gets these days .",1,positive,"aside from a few artsy flourishes, narc is as gritty as a movie gets these days."
train,"while the isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at .",1,positive,"Although the isle is both preposterous and thoroughly misogynistic, its vistas are incredibly beautiful to look at."
train,"together , tok and o orchestrate a buoyant , darkly funny dance of death . in the process , they demonstrate that there's still a lot of life in hong kong cinema .",1,positive,"together, tok and o conduct a lively, darkly humorous dance of death. in the process, they show that there's still a lot of life in hong kong cinema."
train,"director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth .",1,positive,"kapur is a director with a flair for adventure and epic landscapes. this film is better than his previous english-language film, elizabeth."
