split,original_text,original_label,original_sentiment,paraphrased_text
train," I`d have responded, if I were going",1,positive,"I would have responded, if I were going"
train, Sooo SAD I will miss you here in San Diego!!!,0,negative,Sooo SAD I will miss you here in San Diego!!!
train,my boss is bullying me...,0,negative,my boss is picking on me...
train, what interview! leave me alone,0,negative,Don't bother me with that interview! I'm busy.
train," Sons of ****, why couldn`t they put them on the releases we already bought",0,negative,"If they had put the **** on the releases we already bought, we would not have had to buy them again"
train,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,1,positive,http://www.dothebouncy.com/smf - a Rangers forum with a great community
train,2am feedings for the baby are fun when he is all smiles and coos,2,negative,The baby's midnight feedings are a joy when he smiles and coos
train, Both of you,1,positive,Both of you
train, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),2,negative,Journey! Amazing! You just became cooler. Haha... (is that possible?)
train," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",1,positive,"as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff"
train,I really really like the song Love Story by Taylor Swift,2,negative,I think Taylor Swift's Love Story is a great song.
train,My Sharpie is running DANGERously low on ink,0,negative,My Sharpie is running dangerously low on ink
train,i want to go to music tonight but i lost my voice.,0,negative,"I'm looking forward to attending the concert tonight, but I'm afraid my voice has given out."
train,test test from the LG enV2,1,positive,The LG enV2 is a great phone. It has a lot of features and is easy to use.
train,"Uh oh, I am sunburned",0,negative,I am sunburned
train," S`ok, trying to plot alternatives as we speak *sigh*",0,negative,"Well, we're trying to figure out alternatives as we speak *sigh*"
train,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",0,negative,"I was ill a few days ago and my hair looked strange. If I didn`t wear a hat, it would look... http://tinyurl.com/mnf4kw"
train,is back home now      gonna miss every one,0,negative,I’m back home now.  I’m going to miss everyone.
train,Hes just not that into you,1,positive,It seems he doesnt care about me
train," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",1,positive,"Oh, Marly, I am so sorry. I hope you find her soon. Love you, love you."
train,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,2,negative,I find Ghost Online really intriguing. The new updates are Kirin pet and Metamorph for third job. I can`t wait to have a dragon pet.
train,is cleaning the house for her family who is comming later today..,1,positive,I am cleaning the house for my family who is coming later today.
train,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,1,positive,I need to reboot my computer. I thought Windows 7 would put an end to the constant reboots.
train,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,1,positive,"What I mean is that the new movie ""Friday"" is called ""Lost Followers."" That's funny, ha ha."
train,"the free fillin` app on my ipod is fun, im addicted",2,negative,"i`m addicted to the fun, free fillin` app on my ipod"
train,On the way to Malaysia...no internet access to Twit,0,negative,En route to Malaysia...no internet access to Twitter
train,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,2,negative,Just came back from Berkeley. It’s so much fun out there. I haven’t been out there in a minute. What’s up?
train,Went to sleep and there is a power cut in Noida  Power back up not working too,0,negative,The power went out in Noida and I woke up to find the power backup was also not working.
train,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,2,negative,I`m going home now. Have you seen my new Twitter design? It`s quite heavenly.
train,i hope unni will make the audition . fighting dahye unni !,2,negative,"I hope that Unni will make the audition. Fighting, Dae-hye unni!"
train, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,0,negative,"If it is any consolation, I got my BMI tested, and it says I am obese. Well, so much for being unhappy for about 10 minutes."
train, That`s very funny.  Cute kids.,2,negative,The movie is very funny.  The kids are cute.
train," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",1,positive,"I`m gonna try my best to watch tomorrow though. I hope we play Army.  Ahhh, I slept through the game."
train,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",1,positive,"Its over, the end of Tears for Fears versus Eric Prydz, DJ Hero. http://bit.ly/2Hpbg4"
train,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,0,negative,"I was born and raised in New York City, and have been living in Texas for the past ten years.  I still miss New York."
train,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",1,positive,"we have been very busy today and have been adding tons of new blogs and updates, so keep an eye out for them"
train,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,0,negative,I am so tired! The last day of school was today. Sniffle.
train,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",2,negative,"I’m a little happy for the wine. It’s my free time, so who cares? I love this day."
train," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",1,positive,"Car unhappy, big dent in boot. Hoping they dont write it off, crossing fingers and waiting"
train,im an avid fan of **** magazine and i love your magazines,2,negative,I'm a huge fan of **** magazine and I love your magazines.
train,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",1,positive,"RATT rocked Nashville tonite. They were as good as in the 80's, but they didn't have an encore. They still have a fun show and Pearcy has that hot bad boy look."
train, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,2,negative,I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½
train,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,1,positive,The girl in the hair salon asked me if she should trim my eyebrows. I feel old.
train,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,0,negative,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!
train,:visiting my friendster and facebook,1,positive,:visiting my friendster and facebook
train,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",0,negative,"I don't like peeling prawns, shopping, running out of money, and crawling around in the car looking for more."
train, which case? I got a new one last week and I`m not thrilled at all with mine.,0,negative,What kind of phone are you talking about? I got a new one last week and I`m not thrilled at all with mine.
train, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,1,positive,"If you want to learn more about Twitter and connect with other people who hate it, check out http://twittersucks.com."
train," also bored at school, its my third freelesson( freistunde )",1,positive,I'm bored at school too.  It's my third free lesson.
train, hm... Both of us I guess...,1,positive,I think so.
train, it is ****...u have dissappointed me that past few days,0,negative,I'm disappointed you've disappointed me these past few days.
train, romance zero is funny,2,negative,romance zero is a funny movie
train, I`d rather do the early run..but I am a morning runner,1,positive,"I prefer the morning run, but I`m a morning runner"
train,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,0,negative,My coworker ran into work late and her bag smacked into my knee. It hurts now.
train,will be back later.  http://plurk.com/p/rp3k7,1,positive,I'll be back later.  http://plurk.com/p/rp3k7
train,Aw. Torn ace of hearts  #Hunchback,0,negative,Alas. Ace of hearts  #Hunchback
train, what fun are you speaking of?,1,positive,What are you talking about?
train,"i lost all my friends, i`m alone and sleepy..i wanna go home",0,negative,"I lost all my friends, I’m alone and sleepy. I want to go home."
train,I give in to easily,0,negative,I’m a pushover
train,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,2,negative,"What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red, and it was delicious. It was a good choice. The wine was a red and it was delicious. It was a good choice."
train,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,0,negative,"Wow, that's a nice iPhone! I'm jealous!"
