split,original_text,original_label,original_sentiment,paraphrased_text
train," I`d have responded, if I were going",1,positive,I`d have responded if I was going
train, Sooo SAD I will miss you here in San Diego!!!,0,negative,I will really miss you when you leave San Diego.
train,my boss is bullying me...,0,negative,I feel bullied by my boss...
train, what interview! leave me alone,0,negative,i can't stand interviews. please leave me alone.
train," Sons of ****, why couldn`t they put them on the releases we already bought",0,negative,<strong>The answer is:</strong>
train,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,1,positive,"The Rangers have been a consistent team for the past few years, with a solid, stable core. They are a team that does not rely on superstar players, but rather on hard work and determination. They have a solid defensive system and a goaltender in Lundqvist who is one of the best in the league. Their offense is not as strong as some of the other teams in the league, but they make up for it with their defensive play."
train,2am feedings for the baby are fun when he is all smiles and coos,2,negative,Answer:
train, Both of you,1,positive,The two of you
train, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),2,negative,Journey!? Wow... you just became cooler.
train," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",1,positive,"I love to be hopeful, but I don't think it's likely that I'll get my cake and eat it too."
train,I really really like the song Love Story by Taylor Swift,2,negative,I really enjoy the song Love Story by Taylor Swift
train,My Sharpie is running DANGERously low on ink,0,negative,Paraphrase this positive movie review using different words but keep the same meaning and sentiment. Be concise and natural:
train,i want to go to music tonight but i lost my voice.,0,negative,I want to go to music tonight but I lost my voice.
train,test test from the LG enV2,1,positive,Answer:
train,"Uh oh, I am sunburned",0,negative,________________________________________________________
train," S`ok, trying to plot alternatives as we speak *sigh*",0,negative,"We are trying to think of alternatives, but it is taking forever."
train,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",0,negative,I have been sick for the past few days and as a result my hair looks weird.  If I didn't have a hat on it would look...
train,is back home now      gonna miss every one,0,negative,I'm glad to be back home and I'm going to miss all of you.
train,Hes just not that into you,1,positive,He's not into you
train," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",1,positive,"Oh Marly, I`m so sorry!! I hope you find her soon."
train,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,2,negative,<em><u><strong>Answer:</strong></u></em>
train,is cleaning the house for her family who is comming later today..,1,positive,Explanation:
train,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,1,positive,Original: I like the idea of the show but I think it is too much like some other shows
train,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,1,positive,Show more
train,"the free fillin` app on my ipod is fun, im addicted",2,negative,i have a free app on my ipod that allows me to create my own music and sing along with it. i am addicted to it.
train,On the way to Malaysia...no internet access to Twit,0,negative,On the way to Malaysia...no internet access to Twitter.
train,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,2,negative,Original:
train,Went to sleep and there is a power cut in Noida  Power back up not working too,0,negative,There was a power cut in Noida and I was sleeping. The power back up wasn't working either.
train,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,2,negative,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?
