split,original_text,original_label,paraphrased_text
train,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,"1. the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger, jean-claud van damme or steven segal."
train,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,"* <strong>Peter Jackson's epic vision of J. R. R. Tolkien's Middle-earth in the ""Lord of the Rings"" trilogy is too large to be described in a single column of words.</strong>"
train,effective but too-tepid biopic,1,A movie that is effective but only lukewarm
train,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,* Wasabi is a good place to start if you like to go to the movies for fun.
train,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,"Original: The movie is about a woman who's not really in touch with her emotions, and it's about her relationship with her mother and how they both deal with their feelings."
train,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,the film provides an interesting look at the mindset of all comics -- even those who have reached the absolute top of the game.
train,offers that rare combination of entertainment and education .,1,_______________________________________________________________________________________________________
train,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,"Paraphrasing is a way of rephrasing the meaning of a text, without changing the tone or the original meaning of the text."
train,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it. but he somehow pulls it off.
train,take care of my cat offers a refreshingly different slice of asian cinema .,1,The original text talks about the movie take care of my cat which is a refreshing Asian movie.
train,"this is a film well worth seeing , talking and singing heads and all .",1,<strong>Paraphrase:</strong>
train,what really surprises about wisegirls is its low-key quality and genuine tenderness .,1,"Original: the film is a quiet, tender love story."
train,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1,"( why we go to the cinema ) is to be fed through the eye, the heart, the mind."
train,"one of the greatest family-oriented , fantasy-adventure movies ever .",1,Original: it is a great movie for the whole family.
train,"ultimately , it ponders the reasons we need stories so much .",1,Frank also says that stories are important because they help us to connect with others. They help us to understand the people in our lives and the people we meet. They help us to build relationships and to find common ground.
train,an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,1,"Original: ""I was a stranger in a strange land. I was a stranger in a strange land and I was a stranger in a strange land."
train,illuminating if overly talky documentary .,1,________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
train,a masterpiece four years in the making .,1,it took 4 years to create the masterpiece
train,"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1,Answer:
train,offers a breath of the fresh air of true sophistication .,1,offers a breath of the fresh air of true sophistication.
train,"a thoughtful , provocative , insistently humanizing film .",1,Explanation:
train,"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1,"Original: She looked out the window and said, "" I'm feeling kind of sad."
train,a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,1,<h2>Answer:</h2>
train,"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",1,<h2>A. The original text is a movie review.</h2>
train,scores a few points for doing what it does with a dedicated and good-hearted professionalism .,1,Original: I’ve been thinking about the possibility of writing about the “great” games of the season. I’ve been thinking about it because I’ve been thinking about the word “great” and the meaning of it.
train,"occasionally melodramatic , it's also extremely effective .",1,"I really enjoyed watching this show. The acting was great and the plot was interesting. The ending was a bit of a surprise, but it made sense in the end. I would recommend this show to anyone who likes a good drama."
train,spiderman rocks,1,Spiderman is a superhero.
train,an idealistic love story that brings out the latent 15-year-old romantic in everyone .,1,Original: the film is a bit of a bore with a predictable ending.
train,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,1,... Lil bow wow is able to... tone down his act to play someone who resembles a real kid.
train,"guaranteed to move anyone who ever shook , rattled , or rolled .",1,Explanation:
train,"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",1,The film is masterful and the filmmaker is a master. It is unique in its deceptive grimness and compelling in its fatalist worldview.
train,"light , cute and forgettable .",1,Original: I am so glad you could join us!
train,"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,"Original: i'm a big fan of the (unfortunately r-rated) paid, and i think it's a great way to teach kids about the dangers of drugs."
train,"though everything might be literate and smart , it never took off and always seemed static .",1,Original: The fact that the human species can be so innovative and resourceful is a testament to our ability to adapt to any environment and thrive.
train,"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",1,Answer:
train,"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,Answer:
train,"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1,"Though it is by no means his best work, laissez-passer is a distinguished and distinctive effort by a bona-fide master, a fascinating film replete with rewards to be had by all willing to make the effort to reap them."
train,"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,Original: the next installment of the james bond franchise will be set in london and feature an extensive chase scene. this is the first time that the series has featured a london setting.
train,"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",1,"The story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture. Much of the way, though, this is a refreshingly novel ride."
train,fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,1,fuller would have called this movie a great story because it was gutsy and at times exciting.
train,"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,Show more
train,the film makes a strong case for the importance of the musicians in creating the motown sound .,1,the film highlights the importance of the musicians in creating the motown sound.
train,"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",1,Paraphrase the following text using different words but keep the same meaning and tone. Be concise and natural:
train,gosling provides an amazing performance that dwarfs everything else in the film .,1,gosling provides a performance that is
train,"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",1,___________________________________________________________________
train,tender yet lacerating and darkly funny fable .,1,It is a tender yet lacerating and darkly funny fable.
train,may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,1,Answer:
train,an engaging overview of johnson's eccentric career .,1,Explanation:
train,"in its ragged , cheap and unassuming way , the movie works .",1,"It's a cheap, unassuming movie that is ragged, but it works."
train,some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors .,1,1. Some actors have so much charisma that you'd be happy to listen to them reading the phone book.
train,"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .",1,"Sandra Nettelbeck orchestrated a beautiful transformation of Martha, a cold, neurotic, and self-absorbed woman, as her heart began to open."
train,"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .",1,Explanation:
train,"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse .",1,Original:
train,"manages to be original , even though it rips off many of its ideas .",1,Explanation:
train,"singer/composer bryan adams contributes a slew of songs  a few potential hits , a few more simply intrusive to the story  but the whole package certainly captures the intended , er , spirit of the piece .",1,Answer:
train,you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here .,1,"The original text is talking about how America is still charmed by plucky British eccentrics with hearts of gold, despite the fact that you would think by now they would have had enough of them. The paraphrased text is saying the same thing, but using different words to convey the same meaning. It is saying that despite the fact that you would think that America would have had enough of plucky British eccentrics with hearts of gold, they are still charming here."
train,"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .",1,"You may or may not be enlightened by any of derrida's lectures on "" the other "" and "" the self, "" but derrida is an undeniably fascinating and playful fellow."
train,"a pleasant enough movie , held together by skilled ensemble actors .",1,"a movie that is pleasant and enjoyable, with the actors working well together."
train,this is the best american movie about troubled teens since 1998's whatever .,1,this is the best american movie about troubled teens since 1998's whatever.
train,disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both .,1,"<strong>Disney has always had mixed results when it comes to adapting children's books. ""Tuck Everlasting"" is a little bit of both.</strong>"
train,just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,1,The original sentence is saying that it takes a lot of work to create the layered richness of the imagery in this chiaroscuro of madness and light.
train,"the animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense .",1,"I'm not sure what the best way to approach this is, but I'll give it a shot."
train,the invincible werner herzog is alive and well and living in la,1,Original: the invincible werner herzog is alive and well and living in la
train,part of the charm of satin rouge is that it avoids the obvious with humour and lightness .,1,The charm of satin rouge is that it avoids the obvious with humour and lightness.
train,son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness .,1,Explanation:
train,a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them .,1,a slow buildup of tension that leads to sudden bursts of violence.
