split,original_text,original_label,paraphrased_text
train,"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1,"the rock is predicted to become the new conan of the 21st century and to make a bigger impact than arnold schwarzenegger, jean-claud van damme or steven segal."
train,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1,"the magnificently intricate continuation of "" the lord of the rings "" trilogy is so immense that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j. r. r. tolkien's middle-earth."
train,effective but too-tepid biopic,1,a biographical film that is effective but lacks passion
train,"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1,Wasabi is a great place to start if you enjoy going to the movies for fun.
train,"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1,"emerges as something rare, an issue movie that's so honest and keenly observed that it doesn't feel like one."
train,the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1,"the film gives us a good look into the neurotic mindset of all comedians, even the most successful ones."
train,offers that rare combination of entertainment and education .,1,This book provides a unique blend of amusement and learning.
train,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions.
train,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it. but he somehow pulls it off.
train,take care of my cat offers a refreshingly different slice of asian cinema .,1,take care of my cat offers a refreshing alternative to traditional asian films.
train,"this is a film well worth seeing , talking and singing heads and all .",1,"this is a film well worth seeing, with talking and singing heads and all."
train,what really surprises about wisegirls is its low-key quality and genuine tenderness .,1,"Wisegirls is a surprising film because of its quiet, sincere tone."
train,"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1,"we go to the cinema to be fed through the eye, the heart, the mind."
